final_value,return,sharpe,max_drawdown,total_trades,win_rate,code,name
104683.686,4.683686000000002,0.23719763810429148,2.7291062032951654,1,0.0,000001,000001
89790.47600000001,-10.209523999999991,-2.2025048030523795,12.492549315459549,1,0.0,000002,000002
133446.021,33.44602100000001,0.954632787253171,15.5368512725895,1,0.0,000063,000063
100078.648,0.07864800000000105,-14.711560388129746,0.14973400054271588,1,0.0,000100,000100
100228.428,0.22842799999999988,-22.619166256840483,0.3270175477217306,1,0.0,000157,000157
100123.591,0.12359100000000035,-17.07448388560632,0.1806142242722347,1,0.0,000166,000166
97081.834,-2.9181659999999976,-0.9061622395459913,7.137888527486869,1,0.0,000301,000301
103001.74,3.001740000000005,-0.0047375286360140136,1.2581384927133377,1,0.0,000333,000333
101383.57800000001,1.3835780000000086,-1.4468037217648284,1.8131974346545083,1,0.0,000338,000338
111475.983,11.475982999999992,0.7053190206842931,3.085124386381675,1,0.0,000408,000408
109958.71599999999,9.958715999999985,1.0623874116299448,2.6484037859277567,1,0.0,000425,000425
104186.174,4.1861739999999985,0.1973802153894196,2.1097936219699993,1,0.0,000538,000538
82653.13399999999,-17.34686600000001,-0.80945957903149,32.89659007309984,1,0.0,000568,000568
83005.897,-16.994103000000003,-0.8783349865676134,36.498702540384485,1,0.0,000596,000596
101686.538,1.6865380000000005,-0.9706118883941517,0.980290165494106,1,0.0,000617,000617
100498.83300000001,0.4988330000000133,-0.7489093356089167,2.8200895496299525,1,0.0,000625,000625
100271.736,0.2717360000000044,-9.553366425718636,0.13878802072865987,1,0.0,000630,000630
101330.361,1.3303610000000043,-0.694320718361994,1.0762223628420884,1,0.0,000651,000651
92162.209,-7.837790999999998,-0.29575504468412117,26.289520660220965,1,0.0,000661,000661
98602.194,-1.397805999999997,-0.4203288704175779,8.763558255628311,1,0.0,000708,000708
100056.641,0.05664100000000326,-34.19658575745345,0.09889354999385111,1,0.0,000725,000725
110511.236,10.511236000000004,0.4501208607048025,12.422494307765511,1,0.0,000768,000768
116396.99399999999,16.396993999999992,1.113129328038374,5.041810408362596,1,0.0,000776,000776
100918.827,0.9188270000000047,-0.41491664938777195,3.4546734312188203,1,0.0,000786,000786
101681.43600000002,1.681436000000016,-0.06048702225984636,9.576079366067727,1,0.0,000792,000792
99834.933,-0.16506699999999547,-5.156740945641294,0.8859091124766777,1,0.0,000800,000800
114197.314,14.197314,0.8475440890745872,6.183903386987483,1,0.0,000807,000807
90057.66,-9.942339999999996,-1.1961293689043728,19.691990035544013,1,0.0,000858,000858
99005.321,-0.9946790000000036,-1.0632232825929504,3.940314742063871,1,0.0,000876,000876
102378.075,2.3780749999999973,-0.20142156692466817,2.0800355419802257,1,0.0,000895,000895
118512.26900000001,18.512269000000014,0.8090211683488439,12.628517248661494,1,0.0,000938,000938
110750.477,10.750476999999998,0.41965868751548774,16.80289410463307,1,0.0,000963,000963
101082.801,1.0828010000000066,-2.0996261925927606,0.5365051544509583,1,0.0,000975,000975
113684.367,13.684366999999998,1.5018678686690956,6.24248078550178,1,0.0,000977,000977
99167.75400000002,-0.8322459999999846,-0.7754351055330778,7.975426506827219,1,0.0,000983,000983
105444.346,5.444346000000005,0.14651625512691444,13.422780593810982,1,0.0,000999,000999
104065.838,4.065838000000004,0.27734522421016816,6.219185803883911,1,0.0,001289,001289
99999.345,-0.0006549999999988359,-3054.4351145324663,0.098903722171652,1,0.0,001391,001391
99554.744,-0.445255999999994,-5.471377994959464,0.5389199218040074,1,0.0,001965,001965
99937.698,-0.06230199999999604,-0.7335524627307516,6.048287789194457,1,0.0,001979,001979
114141.418,14.141418000000005,1.4008668582664991,6.293995664790393,1,0.0,002001,002001
102045.407,2.045407000000006,-0.7342676641386666,1.0061119367231521,1,0.0,002027,002027
104696.801,4.696801000000007,0.3601999265671312,1.1264667527659153,1,0.0,002028,002028
91591.446,-8.408554000000004,-0.08641725866298783,47.595099122882424,1,0.0,002049,002049
142901.28600000002,42.90128600000002,0.8000993781439897,15.21227769014236,1,0.0,002050,002050
134627.64299999998,34.62764299999998,0.560284098484736,11.163814716924549,1,0.0,002074,002074
71639.10600000001,-28.360893999999988,-1.4027820943691465,32.65649392705751,1,0.0,002129,002129
106069.458,6.069457999999998,0.20185996066919054,9.950035380169728,1,0.0,002142,002142
111210.356,11.210355999999999,1.5470872049826268,14.780817430859345,1,0.0,002179,002179
78517.369,-21.482630999999994,-0.5644057948952552,31.500142160272464,1,0.0,002180,002180
